,raceId,constructorId,points,position,wins
669,83,4,117.0,1,7
670,84,18,7.0,10,0
671,84,17,11.0,9,0
672,84,16,24.0,7,0
673,84,15,14.0,8,0
674,84,7,71.0,4,0
675,84,1,121.0,2,6
676,84,3,52.0,5,0
677,84,9,27.0,6,0
678,84,6,86.0,3,1
679,84,4,130.0,1,7
680,85,18,7.0,10,0
681,85,17,11.0,9,0
682,85,16,25.0,7,0
683,85,15,14.0,8,0
684,85,7,78.0,4,0
685,85,1,136.0,2,7
686,85,3,54.0,5,0
687,85,9,27.0,6,0
688,85,6,86.0,3,1
689,85,4,144.0,1,7
690,86,18,7.0,10,0
691,86,17,12.0,9,0
692,86,16,31.0,6,0
693,86,15,17.0,8,0
694,86,7,80.0,4,0
695,86,1,146.0,2,8
696,86,3,59.0,5,0
697,86,9,27.0,7,0
698,86,6,90.0,3,1
699,86,4,152.0,1,7
700,87,18,7.0,10,0
701,87,17,12.0,9,0
702,87,16,33.0,6,0
703,87,15,17.0,8,0
704,87,7,81.0,4,0
705,87,1,164.0,1,9
706,87,3,59.0,5,0
707,87,9,27.0,7,0
708,87,6,98.0,3,1
709,87,4,162.0,2,7
710,88,18,7.0,10,0
711,88,17,12.0,9,0
712,88,16,37.0,6,0
713,88,15,17.0,8,0
714,88,7,82.0,4,0
715,88,1,174.0,2,10
716,88,3,64.0,5,0
717,88,9,30.0,7,0
718,88,6,100.0,3,1
719,88,4,176.0,1,7
720,89,18,7.0,10,0
721,89,17,12.0,9,0
722,89,16,38.0,6,0
723,89,15,20.0,8,0
724,89,7,88.0,4,0
725,89,1,182.0,2,10
726,89,3,66.0,5,0
727,89,9,34.0,7,0
728,89,6,100.0,3,1
729,89,4,191.0,1,8
730,90,17,0.0,9,0
731,90,7,0.0,8,0
732,90,19,0.0,7,0
733,90,15,0.0,6,0
734,90,1,1.0,5,0
735,90,16,3.0,4,0
736,90,3,9.0,2,0
737,90,4,8.0,3,0
738,90,6,18.0,1,1
739,91,18,0.0,10,0
740,91,17,0.0,9,0
741,91,7,0.0,7,0
742,91,19,0.0,8,0
743,91,15,1.0,6,0
744,91,1,4.0,5,0
745,91,16,9.0,4,0
746,91,3,17.0,2,0
747,91,4,14.0,3,0
748,91,6,33.0,1,2
749,92,18,0.0,10,0
750,92,17,0.0,9,0
751,92,7,0.0,8,0
752,92,19,1.0,7,0
753,92,15,1.0,6,0
754,92,1,4.0,5,0
755,92,16,19.0,4,0
756,92,3,19.0,3,0
757,92,4,22.0,2,0
758,92,6,51.0,1,3
759,93,18,0.0,10,0
760,93,17,0.0,9,0
761,93,7,0.0,8,0
762,93,19,1.0,7,0
763,93,15,1.0,6,0
764,93,1,5.0,5,0
765,93,16,27.0,3,0
766,93,3,27.0,4,0
767,93,4,31.0,2,0
768,93,6,64.0,1,4
769,94,18,0.0,10,0
770,94,17,0.0,9,0
771,94,7,0.0,8,0
772,94,19,1.0,7,0
773,94,15,3.0,6,0
774,94,1,5.0,5,0
775,94,16,32.0,3,0
776,94,3,30.0,4,0
777,94,4,42.0,2,0
778,94,6,82.0,1,5
779,95,18,0.0,10,0
780,95,17,2.0,8,0
781,95,7,4.0,7,0
782,95,19,1.0,9,0
783,95,15,7.0,5,0
784,95,1,5.0,6,0
785,95,16,40.0,3,0
786,95,3,35.0,4,0
787,95,4,52.0,2,1
788,95,6,88.0,1,5
789,96,18,0.0,10,0
790,96,17,2.0,9,0
791,96,7,4.0,7,0
792,96,19,3.0,8,0
793,96,15,10.0,5,0
794,96,1,5.0,6,0
795,96,16,46.0,3,0
796,96,3,36.0,4,0
797,96,4,61.0,2,1
798,96,6,106.0,1,6
799,97,18,0.0,10,0
800,97,17,5.0,7,0
801,97,7,4.0,8,0
802,97,19,3.0,9,0
803,97,15,15.0,5,0
804,97,1,12.0,6,0
805,97,16,52.0,3,0
806,97,3,36.0,4,0
807,97,4,61.0,2,1
808,97,6,124.0,1,7
809,98,18,1.0,10,0
810,98,17,5.0,8,0
811,98,7,8.0,7,0
812,98,19,3.0,9,0
813,98,15,15.0,6,0
814,98,1,17.0,5,0
815,98,16,58.0,3,0
816,98,3,36.0,4,0
817,98,4,66.0,2,1
818,98,6,142.0,1,8
819,99,18,1.0,10,0
820,99,17,5.0,8,0
821,99,7,8.0,7,0
822,99,19,3.0,9,0
823,99,15,15.0,6,0
824,99,1,22.0,5,0
825,99,16,62.0,3,0
826,99,3,37.0,4,0
827,99,4,79.0,2,1
828,99,6,158.0,1,9
829,100,18,1.0,10,0
830,100,17,5.0,8,0
831,100,7,8.0,7,0
832,100,19,4.0,9,0
833,100,15,18.0,6,0
834,100,1,32.0,5,0
835,100,16,67.0,3,0
836,100,3,41.0,4,0
837,100,4,79.0,2,1
838,100,6,174.0,1,10
839,101,18,1.0,10,0
840,101,17,5.0,9,0
841,101,7,8.0,7,0
842,101,19,7.0,8,0
843,101,15,18.0,6,0
844,101,1,37.0,5,0
845,101,16,76.0,3,0
846,101,3,47.0,4,0
847,101,4,85.0,2,1
848,101,6,184.0,1,11
849,102,18,1.0,10,0
850,102,17,5.0,9,0
851,102,7,8.0,7,0
852,102,19,7.0,8,0
853,102,15,19.0,6,0
854,102,1,37.0,5,0
855,102,16,83.0,3,0
856,102,3,54.0,4,0
857,102,4,91.0,2,1
858,102,6,202.0,1,12
859,103,18,1.0,10,0
860,103,17,5.0,9,0
861,103,7,9.0,8,0
862,103,19,10.0,7,0
863,103,15,28.0,6,0
864,103,1,49.0,5,1
865,103,16,83.0,3,0
866,103,3,54.0,4,0
867,103,4,91.0,2,1
868,103,6,216.0,1,12
869,104,18,1.0,10,0
870,104,17,5.0,9,0
871,104,7,9.0,8,0
872,104,19,10.0,7,0
873,104,15,29.0,6,0
874,104,1,52.0,5,1
875,104,16,94.0,2,0
876,104,3,60.0,4,0
877,104,4,91.0,3,1
878,104,6,234.0,1,13
879,105,18,1.0,10,0
880,105,17,5.0,9,0
881,105,7,9.0,8,0
882,105,19,10.0,7,0
883,105,15,32.0,6,0
884,105,1,58.0,5,1
885,105,16,105.0,2,0
886,105,3,64.0,4,0
887,105,4,96.0,3,1
888,105,6,244.0,1,14
889,106,18,1.0,10,0
890,106,17,5.0,9,0
891,106,7,9.0,8,0
892,106,19,10.0,7,0
893,106,15,33.0,6,0
894,106,1,61.0,5,1
895,106,16,116.0,2,0
896,106,3,74.0,4,0
897,106,4,100.0,3,1
898,106,6,254.0,1,15
899,107,18,1.0,10,0
900,107,17,5.0,9,0
901,107,7,9.0,8,0
902,107,19,10.0,7,0
903,107,15,34.0,6,0
904,107,1,69.0,5,1
905,107,16,119.0,2,0
906,107,3,88.0,4,1
907,107,4,105.0,3,1
908,107,6,262.0,1,15
909,108,18,0.0,7,0
910,108,16,0.0,6,0
911,108,15,3.0,5,0
912,108,4,6.0,3,0
913,108,6,5.0,4,0
914,108,3,9.0,2,0
915,108,1,16.0,1,1
916,109,7,0.0,9,0
917,109,17,0.0,7,0
918,109,18,0.0,8,0
919,109,16,2.0,6,0
920,109,15,4.0,5,0
921,109,4,16.0,3,0
922,109,6,16.0,2,0
923,109,3,14.0,4,0
924,109,1,26.0,1,2
925,110,19,0.0,8,0
926,110,7,0.0,9,0
927,110,17,10.0,5,1
928,110,18,0.0,10,0
929,110,16,5.0,7,0
930,110,15,8.0,6,0
931,110,4,23.0,2,0
932,110,6,16.0,3,0
933,110,3,16.0,4,0
934,110,1,39.0,1,2
935,111,19,0.0,9,0
936,111,7,0.0,8,0
937,111,17,10.0,5,1
938,111,18,0.0,10,0
939,111,16,6.0,7,0
940,111,15,8.0,6,0
941,111,4,26.0,3,0
942,111,6,32.0,2,1
943,111,3,23.0,4,0
944,111,1,51.0,1,2
945,112,19,2.0,9,0
946,112,7,3.0,8,0
947,112,17,11.0,5,1
948,112,18,0.0,10,0
949,112,16,6.0,7,0
950,112,15,8.0,6,0
951,112,4,34.0,3,0
952,112,6,48.0,2,2
953,112,3,32.0,4,0
954,112,1,51.0,1,2
955,113,19,4.0,8,0
956,113,7,3.0,9,0
957,113,17,11.0,5,1
958,113,18,0.0,10,0
959,113,16,11.0,6,0
960,113,15,8.0,7,0
961,113,4,35.0,3,0
962,113,6,64.0,1,3
963,113,3,35.0,4,0
964,113,1,63.0,2,2
965,114,19,4.0,8,0
966,114,7,3.0,9,0
967,114,17,11.0,5,1
968,114,18,0.0,10,0
969,114,16,11.0,6,0
970,114,15,8.0,7,0
971,114,4,42.0,4,0
972,114,6,71.0,2,3
973,114,3,50.0,3,1
974,114,1,73.0,1,2
975,115,19,6.0,8,0
976,115,7,4.0,9,0
977,115,17,11.0,5,1
978,115,18,0.0,10,0
979,115,16,11.0,6,0
980,115,15,8.0,7,0
981,115,4,47.0,4,0
982,115,6,85.0,1,4
983,115,3,64.0,3,1
984,115,1,76.0,2,2
985,116,19,9.0,8,0
986,116,7,4.0,9,0
987,116,17,11.0,6,1
988,116,18,0.0,10,0
989,116,16,13.0,5,0
990,116,15,9.0,7,0
991,116,4,52.0,4,0
992,116,6,95.0,1,4
993,116,3,82.0,2,2
994,116,1,76.0,3,2
