,raceId,driverId,constructorId,grid,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
41,19,16,10,20,20,0.0,5,0 days 00:00:00,,3.0,20.0,0 days 00:01:40.330000,198.891,9
42,19,10,7,10,21,0.0,1,0 days 00:00:00,,0.0,0.0,0 days 00:00:00,188.29933540372681,4
43,19,7,5,18,22,0.0,0,0 days 00:00:00,,0.0,0.0,0 days 00:00:00,191.2521785714286,20
44,20,13,6,2,1,10.0,57,0 days 01:31:06.970000,5466970.0,38.0,3.0,0 days 00:01:33.600000,208.153,1
45,20,8,6,4,2,8.0,57,0 days 01:31:10.309000,5470309.0,35.0,4.0,0 days 00:01:33.709000,207.91099999999997,1
46,20,9,2,1,3,6.0,57,0 days 01:31:11.968000,5471968.0,55.0,5.0,0 days 00:01:33.775000,207.765,1
47,20,2,2,6,4,5.0,57,0 days 01:31:15.379000,5475379.0,48.0,2.0,0 days 00:01:33.565000,208.231,1
48,20,5,1,5,5,4.0,57,0 days 01:31:33.759000,5493759.0,49.0,1.0,0 days 00:01:33.193000,209.062,1
49,20,15,7,7,6,3.0,57,0 days 01:31:48.284000,5508284.0,45.0,7.0,0 days 00:01:34.204000,206.81900000000002,1
50,20,17,9,11,7,2.0,57,0 days 01:31:52.443000,5512443.0,51.0,8.0,0 days 00:01:34.305000,206.597,1
51,20,3,3,8,8,1.0,57,0 days 01:32:02.859000,5522859.0,57.0,6.0,0 days 00:01:34.072000,207.109,1
52,20,10,7,13,9,0.0,57,0 days 01:32:16.470000,5536470.0,56.0,9.0,0 days 00:01:34.807000,205.503,1
53,20,4,4,10,10,0.0,57,0 days 01:32:24.151000,5544151.0,35.0,13.0,0 days 00:01:35.194000,204.668,1
54,20,22,11,12,11,0.0,57,0 days 01:32:24.832000,5544832.0,40.0,10.0,0 days 00:01:34.855000,205.399,1
55,20,21,10,18,12,0.0,56,0 days 00:00:00,,56.0,11.0,0 days 00:01:35.057000,204.963,11
56,20,1,1,3,13,0.0,56,0 days 00:00:00,,25.0,19.0,0 days 00:01:35.520000,203.96900000000002,11
57,20,6,3,16,14,0.0,56,0 days 00:00:00,,30.0,17.0,0 days 00:01:35.433000,204.155,11
58,20,7,5,15,15,0.0,56,0 days 00:00:00,,33.0,15.0,0 days 00:01:35.333000,204.36900000000003,11
59,20,19,8,21,16,0.0,56,0 days 00:00:00,,45.0,14.0,0 days 00:01:35.324000,204.389,11
60,20,11,8,22,17,0.0,56,0 days 00:00:00,,56.0,20.0,0 days 00:01:35.891000,203.18,11
61,20,14,9,17,18,0.0,56,0 days 00:00:00,,43.0,16.0,0 days 00:01:35.351000,204.331,11
62,20,16,10,20,19,0.0,56,0 days 00:00:00,,55.0,18.0,0 days 00:01:35.442000,204.136,12
63,20,12,4,14,20,0.0,40,0 days 00:00:00,,31.0,12.0,0 days 00:01:35.129000,204.808,6
64,20,18,11,9,21,0.0,19,0 days 00:00:00,,11.0,21.0,0 days 00:01:36.125000,202.68599999999998,4
65,20,20,5,19,22,0.0,0,0 days 00:00:00,,0.0,0.0,0 days 00:00:00,202.02059999999994,5
66,21,8,6,1,1,10.0,66,0 days 01:38:19.051000,5899051.0,46.0,1.0,0 days 00:01:21.670000,205.19099999999997,1
67,21,13,6,3,2,8.0,66,0 days 01:38:22.279000,5902279.0,45.0,2.0,0 days 00:01:21.801000,204.863,1
68,21,1,1,5,3,6.0,66,0 days 01:38:23.238000,5903238.0,20.0,3.0,0 days 00:01:22.017000,204.32299999999998,1
69,21,9,2,4,4,5.0,66,0 days 01:38:24.745000,5904745.0,20.0,4.0,0 days 00:01:22.106000,204.102,1
70,21,17,9,7,5,4.0,66,0 days 01:38:54.989000,5934989.0,19.0,8.0,0 days 00:01:22.564000,202.96900000000002,1
71,21,18,11,13,6,3.0,66,0 days 01:39:12.061000,5952061.0,66.0,5.0,0 days 00:01:22.353000,203.489,1
72,21,6,3,12,7,2.0,66,0 days 01:39:17.295000,5957295.0,48.0,15.0,0 days 00:01:23.549000,200.576,1
73,21,15,7,8,8,1.0,66,0 days 01:39:18.486000,5958486.0,45.0,10.0,0 days 00:01:22.758000,202.49400000000003,1
74,21,2,2,9,9,0.0,66,0 days 01:39:22.124000,5962124.0,21.0,7.0,0 days 00:01:22.519000,203.08,1
75,21,21,10,19,10,0.0,65,0 days 00:00:00,,40.0,14.0,0 days 00:01:23.439000,200.84099999999998,11
76,21,10,7,14,11,0.0,65,0 days 00:00:00,,57.0,12.0,0 days 00:01:23.007000,201.886,11
77,21,14,9,17,12,0.0,65,0 days 00:00:00,,57.0,11.0,0 days 00:01:22.842000,202.28799999999998,11
78,21,11,8,22,13,0.0,65,0 days 00:00:00,,34.0,17.0,0 days 00:01:24.617000,198.045,11
79,21,3,3,15,14,0.0,41,0 days 00:00:00,,20.0,13.0,0 days 00:01:23.319000,201.13,5
80,21,4,4,2,15,0.0,34,0 days 00:00:00,,15.0,9.0,0 days 00:01:22.683000,202.67700000000002,5
81,21,22,11,11,16,0.0,34,0 days 00:00:00,,21.0,16.0,0 days 00:01:23.858000,199.83700000000002,4
82,21,5,1,6,17,0.0,21,0 days 00:00:00,,19.0,6.0,0 days 00:01:22.453000,203.243,3
83,21,19,8,21,18,0.0,8,0 days 00:00:00,,6.0,20.0,0 days 00:01:26.864000,192.922,21
84,21,7,5,16,19,0.0,7,0 days 00:00:00,,6.0,19.0,0 days 00:01:25.999000,194.862,4
85,21,12,4,10,20,0.0,6,0 days 00:00:00,,6.0,18.0,0 days 00:01:25.444000,196.128,4
86,21,16,10,20,21,0.0,0,0 days 00:00:00,,0.0,0.0,0 days 00:00:00,188.29933540372681,4
87,21,20,5,18,22,0.0,0,0 days 00:00:00,,0.0,0.0,0 days 00:00:00,188.29933540372681,4
88,22,13,6,1,1,10.0,58,0 days 01:26:49.451000,5209451.0,16.0,3.0,0 days 00:01:26.666000,221.734,1
89,22,1,1,3,2,8.0,58,0 days 01:26:53.230000,5213230.0,31.0,2.0,0 days 00:01:26.529000,222.085,1
90,22,8,6,4,3,6.0,58,0 days 01:26:53.722000,5213722.0,20.0,1.0,0 days 00:01:26.506000,222.144,1
91,22,9,2,5,4,5.0,58,0 days 01:27:11.396000,5231396.0,17.0,4.0,0 days 00:01:26.780000,221.442,1
92,22,2,2,9,5,4.0,58,0 days 01:27:28.192000,5248192.0,20.0,5.0,0 days 00:01:27.219000,220.328,1
93,22,4,4,7,6,3.0,58,0 days 01:27:43.175000,5263175.0,57.0,6.0,0 days 00:01:27.280000,220.174,1
94,22,17,9,6,7,2.0,58,0 days 01:27:53.680000,5273680.0,14.0,7.0,0 days 00:01:27.630000,219.294,1
95,22,3,3,11,8,1.0,58,0 days 01:28:00.857000,5280857.0,55.0,9.0,0 days 00:01:27.795000,218.882,1
96,22,14,9,10,9,0.0,58,0 days 01:28:04.721000,5284721.0,41.0,12.0,0 days 00:01:27.966000,218.457,1
97,22,15,7,8,10,0.0,58,0 days 01:28:05.795000,5285795.0,52.0,11.0,0 days 00:01:27.926000,218.55599999999998,1
98,22,18,11,13,11,0.0,57,0 days 00:00:00,,57.0,13.0,0 days 00:01:27.998000,218.377,11
99,22,5,1,2,12,0.0,57,0 days 00:00:00,,55.0,8.0,0 days 00:01:27.640000,219.269,11
100,22,10,7,15,13,0.0,57,0 days 00:00:00,,28.0,16.0,0 days 00:01:28.303000,217.623,11
101,22,22,11,12,14,0.0,57,0 days 00:00:00,,56.0,14.0,0 days 00:01:28.017000,218.33,11
102,22,12,4,17,15,0.0,57,0 days 00:00:00,,40.0,10.0,0 days 00:01:27.867000,218.703,11
103,22,16,10,19,16,0.0,57,0 days 00:00:00,,35.0,18.0,0 days 00:01:28.780000,216.454,11
104,22,20,5,14,17,0.0,57,0 days 00:00:00,,38.0,15.0,0 days 00:01:28.180000,217.926,11
105,22,7,5,18,18,0.0,24,0 days 00:00:00,,19.0,17.0,0 days 00:01:28.745000,216.53900000000002,22
106,22,6,3,16,19,0.0,1,0 days 00:00:00,,0.0,0.0,0 days 00:00:00,188.29933540372681,4
107,22,21,10,20,20,0.0,0,0 days 00:00:00,,0.0,0.0,0 days 00:00:00,188.29933540372681,4
108,23,1,1,3,1,10.0,76,0 days 02:00:42.742000,7242742.0,71.0,6.0,0 days 00:01:18.510000,153.15200000000002,1
109,23,9,2,5,2,8.0,76,0 days 02:00:45.806000,7245806.0,75.0,5.0,0 days 00:01:17.933000,154.286,1
110,23,13,6,1,3,6.0,76,0 days 02:00:47.553000,7247553.0,76.0,4.0,0 days 00:01:17.886000,154.379,1
111,23,17,9,9,4,5.0,76,0 days 02:01:02.037000,7262037.0,74.0,8.0,0 days 00:01:19.036000,152.13299999999998,1
112,23,20,5,19,5,4.0,76,0 days 02:01:07.399000,7267399.0,74.0,7.0,0 days 00:01:18.787000,152.614,1
113,23,22,11,14,6,3.0,76,0 days 02:01:11.150000,7271150.0,75.0,9.0,0 days 00:01:19.574000,151.10399999999998,1
114,23,6,3,13,7,2.0,76,0 days 02:01:12.922000,7272922.0,75.0,13.0,0 days 00:01:19.910000,150.469,1
115,23,5,1,4,8,1.0,76,0 days 02:01:15.933000,7275933.0,74.0,2.0,0 days 00:01:17.282000,155.586,1
116,23,8,6,2,9,0.0,76,0 days 02:01:16.534000,7276534.0,74.0,1.0,0 days 00:01:16.689000,156.789,1
117,23,4,4,7,10,0.0,75,0 days 00:00:00,,73.0,3.0,0 days 00:01:17.869000,154.41299999999998,11
118,23,18,11,11,11,0.0,75,0 days 00:00:00,,74.0,10.0,0 days 00:01:19.582000,151.089,11
119,23,10,7,10,12,0.0,75,0 days 00:00:00,,75.0,11.0,0 days 00:01:19.618000,151.02100000000002,11
120,23,15,7,8,13,0.0,75,0 days 00:00:00,,75.0,12.0,0 days 00:01:19.830000,150.62,11
121,23,2,2,12,14,0.0,72,0 days 00:00:00,,72.0,14.0,0 days 00:01:20.251000,149.829,14
122,23,16,10,18,15,0.0,67,0 days 00:00:00,,60.0,16.0,0 days 00:01:22.039000,146.564,4
123,23,3,3,6,16,0.0,59,0 days 00:00:00,,58.0,15.0,0 days 00:01:21.270000,147.951,3
124,23,12,4,17,17,0.0,47,0 days 00:00:00,,40.0,17.0,0 days 00:01:31.187000,131.86,3
125,23,21,10,20,18,0.0,36,0 days 00:00:00,,33.0,18.0,0 days 00:01:32.849000,129.5,6
126,23,14,9,15,19,0.0,7,0 days 00:00:00,,7.0,20.0,0 days 00:01:42.112000,117.75299999999999,3
127,23,7,5,16,20,0.0,7,0 days 00:00:00,,7.0,19.0,0 days 00:01:41.150000,118.87200000000001,4
128,24,9,2,2,1,10.0,70,0 days 01:36:24.227000,5784227.0,47.0,4.0,0 days 00:01:17.539000,202.47299999999998,1
129,24,2,2,8,2,8.0,70,0 days 01:36:40.722000,5800722.0,25.0,2.0,0 days 00:01:17.430000,202.75799999999998,1
130,24,14,9,13,3,6.0,70,0 days 01:36:47.579000,5807579.0,36.0,7.0,0 days 00:01:18.085000,201.05700000000002,1
131,24,10,7,11,4,5.0,70,0 days 01:37:06.854000,5826854.0,31.0,17.0,0 days 00:01:19.087000,198.51,1
132,24,13,6,6,5,4.0,70,0 days 01:37:08.161000,5828161.0,11.0,6.0,0 days 00:01:18.006000,201.261,1
133,24,15,7,14,6,3.0,70,0 days 01:37:12.002000,5832002.0,38.0,15.0,0 days 00:01:18.870000,199.05599999999998,1
134,24,22,11,9,7,2.0,70,0 days 01:37:17.824000,5837824.0,35.0,10.0,0 days 00:01:18.301000,200.503,1
135,24,20,5,19,8,1.0,70,0 days 01:37:18.347000,5838347.0,33.0,12.0,0 days 00:01:18.532000,199.91299999999998,1
136,24,5,1,7,9,0.0,70,0 days 01:37:18.660000,5838660.0,62.0,11.0,0 days 00:01:18.462000,200.09099999999998,1
137,24,3,3,5,10,0.0,70,0 days 01:37:18.976000,5838976.0,14.0,5.0,0 days 00:01:17.977000,201.33599999999998,1
